Feature ID,Feature Name (EN),Feature Name (TR),Description,Priority,Complexity,Estimated LOC,New Files Count,Required Kits/APIs,Current Kit Overlap,Category,Target View,Dependencies,Emulator Testable,Notes
F12,Streak Tracking with Animations,Seri Takibi ve Animasyonlar,"Ardışık gün sayacı; ateş ikonu ile görsel seri gösterimi. Seri artışında scale+rotate animasyonu. Seri tehlikede uyarı (renk değişimi). En uzun seri kaydı.",Medium,Medium,75,1 (StreakTracker.ets),@kit.ArkData (preferences) + @kit.ArkUI (animateTo + SymbolEffect),@kit.ArkUI,Gamification,ProgressRing + Stats,F01 + F04,Yes,"animateTo ile bounce efekti. SymbolEffect ile ikon animasyonu. Günlük seri kontrolü ve sıfırlama mantığı. Renk geçişleriyle uyarı sistemi."
F13,Settings Page with Grouped Lists,Ayarlar Sayfası (Gruplu Liste),"Kategorize edilmiş ayarlar: Zamanlayıcı, Görünüm, Veri, Hakkında. ListItemGroup ile bölümleme, Toggle/Slider/Select bileşenleri, Navigation alt sayfa geçişleri.",Medium,Medium,120,2 (SettingsPage.ets + SettingsModel.ets),@kit.ArkUI (ListItemGroup + Toggle + Slider + Select + Navigation + NavRouter),@kit.ArkUI,UX,New Page,F07,Yes,"ListItemGroup ile kategorili ayar listesi. Toggle ile açma/kapama. Slider ile süre ayarı. Select ile tema seçimi. NavRouter ile alt sayfa navigasyonu."
F14,Custom Dialog System,Özel Dialog Sistemi,"Oturum tamamlama özeti, başarım bildirimi, program seçimi, sıfırlama onayı için özel dialog'lar. Animasyonlu açılış/kapanış, blur arkaplan efekti.",Medium,Medium,100,2 (FocusDialog.ets + DialogAnimations.ets),@kit.ArkUI (@CustomDialog + TransitionEffect + blur + BackdropBlur + animation),@kit.ArkUI,UX,All Pages,None,Yes,"@CustomDialog decorator ile özel dialog tanımları. TransitionEffect.asymmetric ile farklı giriş/çıkış animasyonları. backdropBlur ile arkaplan bulanıklaştırma."
F15,Data Export & Import,Veri Dışa/İçe Aktarma,"Oturum geçmişini JSON formatında dosyaya dışa aktarma ve geri yükleme. FilePicker ile dosya seçimi, Progress ile aktarım durumu gösterimi.",Medium,Medium,110,2 (DataExporter.ets + DataImporter.ets),@kit.CoreFileKit (fileIo + picker.DocumentSaveOptions) + @kit.ArkData,@kit.CoreFileKit,Data Management,Settings Page,F01,Yes,"fileIo.open/write/close ile dosya yazma. picker.DocumentViewPicker ile dosya seçimi. JSON.stringify/parse ile serializasyon. Progress bileşeni ile durum gösterimi."
F16,Break Activity Suggestions with Cards,Mola Aktivite Önerileri (Kart Tasarımı),"Mola sırasında Swiper ile kart bazlı aktivite önerileri (germe, yürüyüş, su iç, göz dinlendir). Her kart için ikon, açıklama ve zamanlayıcı. Swiper dot indicator.",Medium,Low,70,1 (BreakSuggestions.ets),@kit.ArkUI (Swiper + SwiperIndicator + Card pattern + SymbolGlyph),@kit.ArkUI,Wellness,ProgressRing (break mode),None,Yes,"Swiper ile kaydırılabilir öneri kartları. Her kart SymbolGlyph ikon + açıklama + mini zamanlayıcı. Rastgele sıralama. 10+ aktivite önerisi."
F17,Internationalization (i18n),Çoklu Dil Desteği,"Türkçe ve İngilizce dil desteği; sistem diline göre otomatik geçiş veya manuel seçim. Tüm UI metinlerinin kaynak dosyalarından okunması.",Medium,Medium,80,2 (i18n resource files + LanguageHelper.ets),@kit.LocalizationKit (intl + i18n),None,Platform,All Views,None,Yes,"$r() ile kaynak string referansları (zaten kısmen var). base/element + en_US/element resource klasörleri. intl.DateTimeFormat ile tarih/saat formatı. Dil değiştirme ayarı."
F18,Motivational Quotes on Break,Mola Motivasyon Sözleri,"Mola ekranında marquee efekti ile kayan motivasyon sözleri. Kategori bazlı (verimlilik, sağlık, odak) söz havuzu. Text overflow ve marquee animasyonu.",Low,Low,55,1 (QuotesProvider.ets),@kit.ArkUI (Marquee + Text + textOverflow),@kit.ArkUI,Wellness,ProgressRing (break mode),None,Yes,"Marquee bileşeni ile kayan metin. 50+ motivasyon sözü statik havuzu. Kategori bazlı filtreleme. Her molada rastgele seçim."
F19,Focus Intensity Levels,Odak Yoğunluk Seviyeleri,"Oturum başında yoğunluk seviyesi seçimi (Hafif/Normal/Yoğun); her seviye için farklı süre ve mola oranları. Rating bileşeni ile görsel seviye seçimi. Yoğunluğa göre renk değişimi.",Low,Medium,85,2 (IntensityModel.ets + IntensitySelector.ets),@kit.ArkUI (Rating + DataPanel + @Styles + @Extend),@kit.ArkUI,Core Feature,ProgressController,None,Yes,"Rating bileşeni ile 3 seviye seçimi. DataPanel ile yoğunluk dağılımı. @Styles ve @Extend decorator'ları ile yeniden kullanılabilir stil tanımları."
F20,Pomodoro Cycle Visualizer,Pomodoro Döngü Görselleştirici,"4 odak + 3 kısa mola + 1 uzun mola döngüsünü Canvas ile görsel olarak gösteren dairesel harita. Tamamlanan ve kalan oturumlar farklı renkte. Aktif oturum vurgulu.",Low,Medium,90,1 (CycleVisualizer.ets),@kit.ArkUI (Canvas + CanvasRenderingContext2D + Path2D),@kit.ArkUI,Visualization,New Swiper Page,None,Yes,"Canvas ile dairesel segment çizimi. arc() ile her oturum için dilim. fillStyle ile tamamlanan/kalan ayrımı. Path2D ile aktif oturum vurgusu."

SUMMARY,,,,,,,,,,,,,,
Current State,,,,,,,,"11 dosya | 422 LOC | 6 kit",,,,,,
Total New Features,,,,,,20,,,,,,,,
Total Estimated New LOC,,,,,,"2245 (mevcut 422 LOC üzerine eklenerek toplam ~2667 LOC)",,,,,,,,
Total New Files,,,,,,"38 yeni dosya (toplam ~49 dosya)",,,,,,,,
New Kits Introduced,,,,,,"4 yeni kit: @kit.ArkData (relationalStore + preferences), @kit.CoreFileKit (fileIo + picker), @kit.LocalizationKit (intl + i18n), @kit.ArkUI (genişletilmiş - Canvas, Stepper, Gauge, Chip, Grid, CustomDialog, Marquee, Rating, DataPanel, Navigation, Slider, Toggle, Select, router, PageTransition, animateTo, particleEffect, TransitionEffect, blur, SymbolEffect, Path2D vb.)",,,,,,,,
Total Kit Count,,,,,,"10 kit (mevcut 6 + 4 yeni)",,,,,,,,
Projected State,,,,,,,,"~49 dosya | ~2667 LOC | 10 kit",,,,,,
All Features Emulator Testable,,,,,,,,Yes - tüm özellikler emülatörde test edilebilir,,,,,,

EXCLUDED FEATURES (Fiziksel Cihaz Gerektiren),,,,,,,,,,,,,,
Excluded,Haptic Feedback,Titreşim,"Vibrator sensörü gerektirir, emülatörde çalışmaz",,,,,,,,,,,,
Excluded,Sound Alerts,Sesli Uyarılar,"Audio çıkışı emülatörde sınırlı/güvenilmez",,,,,,,,,,,,,,
Excluded,Heart Rate Monitoring,Nabız Takibi,"Fiziksel kalp atışı sensörü gerektirir",,,,,,,,,,,,,,
Excluded,Step Counter,Adım Sayacı,"Pedometer sensörü gerektirir",,,,,,,,,,,,,,
Excluded,Multi-device Sync,Çoklu Cihaz Sync,"Birden fazla fiziksel cihaz ve cloud hesabı gerektirir",,,,,,,,,,,,,,
Excluded,Ambient Sound,Ortam Sesi,"Audio playback emülatörde güvenilmez + büyük dosya boyutu",,,,,,,,,,,,,,
Excluded,DND Integration,Rahatsız Etmeyin,"Sistem seviyesi bildirim kontrolü emülatörde sınırlı",,,,,,,,,,,,,,
Excluded,Always-on Display,AOD,"Wearable AOD modu emülatörde desteklenmiyor",,,,,,,,,,,,,,

PRIORITY DISTRIBUTION,,,,,,,,,,,,,,
Critical (4),,"F01 Session History, F02 Onboarding, F03 Router Navigation, F04 Daily Goals",,,,,,,,,,,,
High (6),,"F05 Breathing Exercise, F06 Achievements, F07 Themes, F08 Custom Programs, F09 Tags, F10 Weekly Report",,,,,,,,,,,,
Medium (6),,"F11 Calendar Heatmap, F12 Streak, F13 Settings Page, F14 Custom Dialogs, F15 Data Export, F16 Break Cards, F17 i18n",,,,,,,,,,,,
Low (3),,"F18 Motivational Quotes, F19 Intensity Levels, F20 Cycle Visualizer",,,,,,,,,,,,

KIT USAGE MAP,,,,,,,,,,,,,,
@kit.ArkUI (Extended),,"F01-F20 (tümü)","Canvas, Stepper, Gauge, Chip, Grid, CustomDialog, Marquee, Rating, DataPanel, Navigation, Slider, Toggle, Select, Swiper, router, PageTransition, animateTo, particleEffect, TransitionEffect, blur, SymbolEffect, Path2D, Counter, Progress, List, ListItemGroup, Flex, NavRouter, @Styles, @Extend, @Provide, @Consume, @CustomDialog",,,,,,,,,,,,
@kit.ArkData,,"F01, F04, F06, F07, F08, F09, F12, F15","relationalStore (RDB), preferences",,,,,,,,,,,,
@kit.CoreFileKit (Extended),,"F15","fileIo, picker.DocumentViewPicker, DocumentSaveOptions",,,,,,,,,,,,
@kit.LocalizationKit,,"F17","intl.DateTimeFormat, i18n",,,,,,,,,,,,
@kit.AbilityKit (Existing),,"F02, F03","UIAbility, Want, router",,,,,,,,,,,,
@kit.PerformanceAnalysisKit (Existing),,"Debug/Logging","hilog",,,,,,,,,,,,
@kit.BasicServicesKit (Existing),,"Error handling","BusinessError",,,,,,,,,,,,

ARKUI COMPONENT COVERAGE (Yeni Bileşenler),,,,,,,,,,,,,,
Layout,,"Grid, GridItem, Flex, FlexAlign, Navigation, NavRouter, NavDestination",,,,,,,,,,,,
Input,,"Toggle, Slider, Select, Rating, TextInput, Chip, ChipGroup, Stepper, StepperItem",,,,,,,,,,,,
Display,,"Canvas, Gauge, DataPanel, Marquee, Divider, Badge, Popup",,,,,,,,,,,,
Container,,"Scroll, Tabs, TabContent, ListItemGroup, Card pattern",,,,,,,,,,,,
Feedback,,"CustomDialog, AlertDialog, Progress (linear), Toast",,,,,,,,,,,,
Animation,,"animateTo, PageTransition, TransitionEffect, curve (Spring/EaseInOut), particleEffect, SymbolEffect, blur, backdropBlur",,,,,,,,,,,,
Drawing,,"CanvasRenderingContext2D, Path2D, arc, fillRect, strokeText, fillStyle, linearGradient",,,,,,,,,,,,

IMPLEMENTATION PHASES,,,,,,,,,,,,,,
Phase 1 - Foundation,,"F01 + F02 + F03","Veri altyapısı (RDB) + Navigasyon sistemi + Onboarding akışı",,,~470 LOC,,,,,,,,
Phase 2 - Core Features,,"F04 + F08 + F09","Günlük hedef + Özel programlar + Etiketler",,,~370 LOC,,,,,,,,
Phase 3 - Visualization,,"F10 + F11 + F20","Canvas grafikleri + Takvim ısı haritası + Döngü görselleştirici",,,~410 LOC,,,,,,,,
Phase 4 - UX Polish,,"F05 + F07 + F14","Nefes egzersizi + Tema + Dialog sistemi",,,~320 LOC,,,,,,,,
Phase 5 - Gamification,,"F06 + F12","Başarım sistemi + Seri takibi",,,~255 LOC,,,,,,,,
Phase 6 - Extras,,"F13 + F15 + F16 + F17 + F18 + F19","Ayarlar + Veri export + Mola kartları + i18n + Sözler + Yoğunluk",,,~420 LOC,,,,,,,,
